username,text,tweet_clean,tweet_english
IsmanHiro,"@txtdrdigital @DitjenPajakRI Wkwkwk, mari beriklaaan kena pajak 12% , shopee tiktok berlaku 1 januari dah naik dr 11 ke 12","Wkwkwk, mari beriklaaan kena pajak % , shopee tiktok berlaku januari dah naik dr ke","Wkwkwk, let's be taxable %, Shopee Tiktok is valid in January and has gone up from"
telotapak,"RT @ramuneinabottle: Kalau sesuatu yang tidak kena PPN 12% dikatakan kabar gembira sama salah satu instansi negara, berarti negara sendiri…",": Kalau sesuatu yang tidak kena PPN % dikatakan kabar gembira sama salah satu instansi negara, berarti negara sendiri",": If something that is not subject to VAT % is said to be good news with one of the state agencies, it means the country itself"
Fadianadewik,bangga punya polisi seberani kalian! 🇮🇩 https://t.co/eKY2hCUuZU,bangga punya polisi seberani kalian!,Proud to have a great policy!
LSoepandi,"RT @Jumianto_RK: Setelah dipalakin pajak PPN 12%, rakyat masih digebukin pakai asuransi. 

Ekonomi meroket ndasmu 😅 https://t.co/K7Rau9McnL",": Setelah dipalakin pajak PPN %, rakyat masih digebukin pakai asuransi. Ekonomi meroket ndasmu",": After the VAT Tax is VAT %, the people are still beaten using insurance.The economy skyrocketed your ndas"
tototiti_,RT @barengwarga: Aksi Tolak Kenaikan PPN sore ini oleh BEM SI di Istana Negara. ✊ #TolakPPN12Persen https://t.co/hUtztZcbl5,: Aksi Tolak Kenaikan PPN sore ini oleh BEM SI di Istana Negara.,: Action Rejecting the increase in VAT this afternoon by BEM SI at the State Palace.
H4Hbingung,RT @howtodresvvell: gweh animal communicator trus kata bobby batalkan ppn 12%,: gweh animal communicator trus kata bobby batalkan ppn %,: GWEH ANTIL COMMUNICATORS Then the word Bobby canceled VPN %
fvcktraitor,"RT @ronaldy596: Demo Tolak Kenaikan PPN 12%,
Meski dipukul mundur sekalipun,
Adek² Mahasiswa ini Akan tetap bertahan !
Kata Mahasiswa,
Peme…",": Demo Tolak Kenaikan PPN %,Meski dipukul mundur sekalipun,Adek Mahasiswa ini Akan tetap bertahan !Kata Mahasiswa,Peme",": Demo Refuses to increase VAT %, even though it is beaten back, this student's brother will stay!"
Chio1634875,"RT @ronaldy596: Anaknya dikasih makan Siang gratis,
Tapi bisa² Malamnya tidak bisa Makan,
Akibat Duit Orang tuanya terkuras kena Pajak kena…",": Anaknya dikasih makan Siang gratis,Tapi bisa Malamnya tidak bisa Makan,Akibat Duit Orang tuanya terkuras kena Pajak kena",": His son was given a free lunch, but it could not eat at night, due to the money of his parents drained taxable"
hengkyPudyo,"RT @PngAdilnR4kyt: OMONG KOSONG...

KITA SEMUA HARUS TOLAK KENAIKAN PPN 12 PERSEN....

BELUM JUGA DIBERLAKUKAN PPN 12 %, SEJUMLAH BAHAN MAK…",": OMONG KOSONG...KITA SEMUA HARUS TOLAK KENAIKAN PPN PERSEN....BELUM JUGA DIBERLAKUKAN PPN %, SEJUMLAH BAHAN MAK",": Bullshit ... we all have to reject the increase in VAT percent .... not yet applied to VAT %, a number of materials"
60far60pay,"RT @xquitavee: Nah ini kerjaan bajer2 koplak lobet selalu menebar ketakutan n kesalah fahaman pd pemerintahan prabowo 🧐

Ppn 12% yg di setu…",: Nah ini kerjaan bajer2 koplak lobet selalu menebar ketakutan n kesalah fahaman pd pemerintahan prabowo Ppn % yg di setu,": Well, this is the work of the koplak lobet always spreads fear and misunderstanding in the government of Prabowo PPN % in Setu"
BotakCastello2,"RT @allawi_much: @ARSIPAJA Coba renungkan detik ke 19-21
Dia bilang gantian aku yg bayar pajak.

Dia ini gak bisa bedain PPN dan PPh apa?
P…",: Coba renungkan detik ke $NUMBER$Dia bilang gantian aku yg bayar pajak.Dia ini gak bisa bedain PPN dan PPh apa?P,: Try to contemplate seconds to $ number $ he said I replaced my tax.
OuJinnie,RT @barengwarga: Mahasiswa Tiarap Menolak PPN 12%: Simbolisasi Kekhawatiran Ekonomi Masyarakat yang akan tiarap jika PPN Naik. #TolakPPN12P…,: Mahasiswa Tiarap Menolak PPN %: Simbolisasi Kekhawatiran Ekonomi Masyarakat yang akan tiarap jika PPN Naik.,: Students Tiap reject VAT %: symbolization of the economic concerns of the people who will lie down if VAT rises.
nurshanti_kamal,"RT @NenkMonica: BREAKING NEWS 
Water Canon sudah disiapkan utk memukul mundur mahasiswa yg masih bertahan di jalan Medan Merdeka Barat utk…",: BREAKING NEWS Water Canon sudah disiapkan utk memukul mundur mahasiswa yg masih bertahan di jalan Medan Merdeka Barat utk,: Breaking News Water Canon has been prepared to repel students who still survive on Jalan Medan Merdeka Barat for
buchekborneo22,"RT @NenkMonica: GAK TAYANG DI TV 
BEM SI Kerakyatan menggelar aksi unjuk rasa di Patung Kuda, Jakarta Pusat. Massa aksi menolak kenaikan PP…",": GAK TAYANG DI TV BEM SI Kerakyatan menggelar aksi unjuk rasa di Patung Kuda, Jakarta Pusat. Massa aksi menolak kenaikan PP",": Not aired on TV BEM Si Si Pemumyatan held a demonstration at the Horse Statue, Central Jakarta.The mass of action rejected the increase in PP"
cicitgyu,"RT @koganenohikari: ini juga misleading, beras yg ga kena kenaikan PPn 12% itu cuma BERAS BULOG.

berani makan beras Bulog full sebulan? or…",": ini juga misleading, beras yg ga kena kenaikan PPn % itu cuma BERAS BULOG.berani makan beras Bulog full sebulan? or",": This is also a misleading, rice that is not hit by the increase in PPN % is only Bulog rice. Are you eating full Bulog rice a month?or"
MalaguenaT24524,"RT @BebySoSweet: Semalam....
PEMBUBARAN AKSI DEMO MAHASISWA TOLAK PPN 12%

Semangat saudara2 mahasiswa💪💪🔥 https://t.co/BqaeHt0IX6",: Semalam....PEMBUBARAN AKSI DEMO MAHASISWA TOLAK PPN %Semangat saudara2 mahasiswa,: Last night .... Dissolution of Student Demo Action Rejecting VAT %of Student Spirit
_sabtumingyu,@chieseok udh dp gedung blm? nanti keburu kena pajak 12%,udh dp gedung blm? nanti keburu kena pajak %,"Already dp building not?Later, it will be taxable %"
ixxnxxs,ppn nya 12% https://t.co/J3w9WDWEuE,ppn nya %,the VAT %
iloveseokmae,"RT @ronaldy596: Demo Tolak Kenaikan PPN 12%,
Meski dipukul mundur sekalipun,
Adek² Mahasiswa ini Akan tetap bertahan !
Kata Mahasiswa,
Peme…",": Demo Tolak Kenaikan PPN %,Meski dipukul mundur sekalipun,Adek Mahasiswa ini Akan tetap bertahan !Kata Mahasiswa,Peme",": Demo Refuses to increase VAT %, even though it is beaten back, this student's brother will stay!"
wasnotyourpage,RT @howtodresvvell: gweh animal communicator trus kata bobby batalkan ppn 12%,: gweh animal communicator trus kata bobby batalkan ppn %,: GWEH ANTIL COMMUNICATORS Then the word Bobby canceled VPN %
nurshanti_kamal,"RT @barengwarga: 3 hari lagi menuju kenaikan PPN ke 12%
3 hari lagi menuju kenaikan PPN ke 12%
3 hari lagi menuju kenaikan PPN ke 12%",: hari lagi menuju kenaikan PPN ke %3 hari lagi menuju kenaikan PPN ke %3 hari lagi menuju kenaikan PPN ke %,: days to increase VAT to %3 days to increase VAT to %3 days to increase VAT to %to %
borneoetnict,"RT @V3g3L: Mahasiswa Terluka Saat Polisi Bubarkan Demo Tolak PPN 12 Persen, Mengaku Kena Pentungan. apakah penanganan demo harus selalu ana…",": Mahasiswa Terluka Saat Polisi Bubarkan Demo Tolak PPN Persen, Mengaku Kena Pentungan. apakah penanganan demo harus selalu ana",": Students were injured when the police dissolved the demonstration to reject the VAT percent, claiming to be hit by a batonian.whether the demonstration handling must always be ana"
nisrinarfh,RT @howtodresvvell: gweh animal communicator trus kata bobby batalkan ppn 12%,: gweh animal communicator trus kata bobby batalkan ppn %,: GWEH ANTIL COMMUNICATORS Then the word Bobby canceled VPN %
gerbangjenis,"RT @ramuneinabottle: Kalau sesuatu yang tidak kena PPN 12% dikatakan kabar gembira sama salah satu instansi negara, berarti negara sendiri…",": Kalau sesuatu yang tidak kena PPN % dikatakan kabar gembira sama salah satu instansi negara, berarti negara sendiri",": If something that is not subject to VAT % is said to be good news with one of the state agencies, it means the country itself"
ninemillies,RT @howtodresvvell: gweh animal communicator trus kata bobby batalkan ppn 12%,: gweh animal communicator trus kata bobby batalkan ppn %,: GWEH ANTIL COMMUNICATORS Then the word Bobby canceled VPN %
trickchii,"RT @intinyadeh: #intinyadeh akun WhatsApp inisiator @barengwarga beserta keluarganya dihack.

Diduga gara2 vokal nolak PPN 12%, krn akhir2…",": akun WhatsApp inisiator beserta keluarganya dihack.Diduga gara2 vokal nolak PPN %, krn akhir2",": WhatsApp Initiator account and his family are hacked. Allegedly because vocals refuse VAT %, because lately"
brodanialahmad,RT @barengwarga: Aksi Tolak Kenaikan PPN sore ini oleh BEM SI di Istana Negara. ✊ #TolakPPN12Persen https://t.co/hUtztZcbl5,: Aksi Tolak Kenaikan PPN sore ini oleh BEM SI di Istana Negara.,: Action Rejecting the increase in VAT this afternoon by BEM SI at the State Palace.
seyahls,@naelisja 100% betulan. Tanpa dipotong pajak 12%.,% betulan. Tanpa dipotong pajak %.,% real.Without being deducted by %tax.
Labakumoro,"RT @rahmatsafari93: @Kanseulir Udah ngga bisa ditolong
Tritura Ampera ( Tiga Tuntutan Rakyat dan Amanat  Penderitaan Rakyat )
1. Bubarkan k…",: Udah ngga bisa ditolongTritura Ampera ( Tiga Tuntutan Rakyat dan Amanat Penderitaan Rakyat )1. Bubarkan k,: Already cannot be helped by Tritura Ampera (three demands of the people and the mandate of the suffering of the people) 1.Disband k
menapaklurus,"RT @ronaldy596: Apakah Kenaikan PPN sdh melalui Kajian Naskah Akedemik yg Akurat ?
Karna ,
Anak Muda Peneliti Celios ini bilang :
Kok bisa,…",": Apakah Kenaikan PPN sdh melalui Kajian Naskah Akedemik yg Akurat ?Karna ,Anak Muda Peneliti Celios ini bilang :Kok bisa,",": Has the increase in VAT has been through an accurate academic manuscript study? Because, this young Celios researcher said: how come,"
taesankece,"RT @Jea_veel: 3 mei di JIS.
Ticketing 6 sm 7 Januari.
.
.
.
.
dengan ppn 12% aowkaowkaowkaok",: mei di JIS.Ticketing sm Januari.....dengan ppn % aowkaowkaowkaok,: May at jis.ticketing
Tristhan77,"RT @virdianaurellio: “Demokrasi aman kok buktinya kalian boleh aksi”

Iya tapi diintimidasi pake mobil direktorat tahanan dan diparkir depa…",: Demokrasi aman kok buktinya kalian boleh aksiIya tapi diintimidasi pake mobil direktorat tahanan dan diparkir depa,": Democracy is safe, how proof you can do it, but it is intimidated using a cars of the Directorate of Detention and parked"
ripaaaa__,RT @dekhosun: lucu bgt org2 eropa pada marah 😭 kita nih konser mulu tapi berkelahi dengan umr 3jt &amp; ppn 12% anjrit 😭 kita juga bingung 😭,: lucu bgt org2 eropa pada marah kita nih konser mulu tapi berkelahi dengan umr jt &amp; ppn % anjrit kita juga bingung,: funny European people are angry at our concert but fight with UMR JT & amp;PPN % Anjrit We are also confused
Delisa_Lockey,"RT @virdianaurellio: “Demokrasi aman kok buktinya kalian boleh aksi”

Iya tapi diintimidasi pake mobil direktorat tahanan dan diparkir depa…",: Demokrasi aman kok buktinya kalian boleh aksiIya tapi diintimidasi pake mobil direktorat tahanan dan diparkir depa,": Democracy is safe, how proof you can do it, but it is intimidated using a cars of the Directorate of Detention and parked"
itszephyrine__,"RT @minfaery: demi Tuhan, kalian semua berhak marah atas ppn 12% ini. kalo kalian gak tau, ppn 12% ini naik di seluruh lini. even pasta gig…",": demi Tuhan, kalian semua berhak marah atas ppn % ini. kalo kalian gak tau, ppn % ini naik di seluruh lini. even pasta gig",": For God's sake, all of you have the right to be angry with this % VAT.If you don't know, this % VAT rises in all lines.Gig pasta even"
tempodotco,"Polri Kerahkan 611 Personel untuk Jaga Demo Tolak PPN 12 Persen di Patung Kuda
https://t.co/1WkOII7JMe",Polri Kerahkan Personel untuk Jaga Demo Tolak PPN Persen di Patung Kuda,Polri mobilized personnel to maintain the demonstration to reject the VAT percent in the Horse Statue
masih_ang,"RT @CakKhum: Pajak itu untuk menyejahterakan PEJABAT bukan untuk menyejahterakan Rakyat

Ada nggak pejabat yang rumahnya type 27 atau 36?
A…",: Pajak itu untuk menyejahterakan PEJABAT bukan untuk menyejahterakan RakyatAda nggak pejabat yang rumahnya type atau ?A,": The tax for the welfare of officials is not to improve the welfare of the people, there are no officials whose homes are type or?"
auvyra,Yuk deeptalk. Jadi menurut kamu imbas PPN 12% terhadap masyarakat menengah ke bawah tuh apa ajasih? Apa sasaran dana dari Kementerian untuk UMKM sudah tepat dan bisa membantu mereka untuk berkembang? https://t.co/0GHLRMh4Pz,Yuk deeptalk. Jadi menurut kamu imbas PPN % terhadap masyarakat menengah ke bawah tuh apa ajasih? Apa sasaran dana dari Kementerian untuk UMKM sudah tepat dan bisa membantu mereka untuk berkembang?,"Come on Deeptalk.So what do you think is the impact of VAT % of the lower middle class, what do you do?What is the target of funds from the Ministry for MSMEs is appropriate and can help them to develop?"
tokaidirecycle,RT @emerson_yuntho: Hallo @kring_pajak @DitjenPajakRI mau tanya kalau PPN 12 % apakah hanya berlaku untuk pemilih Pak @prabowo di Pemilu 20…,: Hallo mau tanya kalau PPN % apakah hanya berlaku untuk pemilih Pak di Pemilu,: Hello want to ask if VAT % is only valid for PAK voters in the election
iqkribnews,"Heboh Hitung- hitungan PPN !
PPN dari 11% Jadi 12% Bukan Naik 1% Melainkan 9%, Jerome Polin Jelaskan Perhitungannya

#jeromepolin #aniesbaswedan #gubernurjakarta #prabowo #jakarta #politik #demokrasi  #ridwankamil #menkeu #gibran #jokowi #menteri #viral #dharmapongrekun #dpr #ppn https://t.co/b5wlNXa43T","Heboh Hitung- hitungan PPN !PPN dari % Jadi % Bukan Naik % Melainkan %, Jerome Polin Jelaskan Perhitungannya","Splashy Calculation of VAT! VAT from % so % is not rising % but %, Jerome Polin Explain the calculation"
antiherolisa17,RT @barengwarga: Aksi Tolak Kenaikan PPN sore ini oleh BEM SI di Istana Negara. ✊ #TolakPPN12Persen https://t.co/hUtztZcbl5,: Aksi Tolak Kenaikan PPN sore ini oleh BEM SI di Istana Negara.,: Action Rejecting the increase in VAT this afternoon by BEM SI at the State Palace.
ociteiru,@taesjaetaesjae nanti sepedanya dipotong ppn 12% jadi sadelnya ilang,nanti sepedanya dipotong ppn % jadi sadelnya ilang,later the bicycle is deducted by VAT % so the saddle will disappear
pinkairyy,"RT @koganenohikari: ini juga misleading, beras yg ga kena kenaikan PPn 12% itu cuma BERAS BULOG.

berani makan beras Bulog full sebulan? or…",": ini juga misleading, beras yg ga kena kenaikan PPn % itu cuma BERAS BULOG.berani makan beras Bulog full sebulan? or",": This is also a misleading, rice that is not hit by the increase in PPN % is only Bulog rice. Are you eating full Bulog rice a month?or"
ffrom_myosotis,"RT @jellypastaa: ppn 12% ditambah influencer out of nowhere adalah combo terbaik.

pedagang lagi susah, karyawan juga susah, dia datang tuk…",": ppn % ditambah influencer out of nowhere adalah combo terbaik.pedagang lagi susah, karyawan juga susah, dia datang tuk",": PPN % plus influencer out of nowhere is the best combo. The trading is difficult, employees are also difficult, he comes tuk"
merdikmlh,"RT @virdianaurellio: “Demokrasi aman kok buktinya kalian boleh aksi”

Iya tapi diintimidasi pake mobil direktorat tahanan dan diparkir depa…",: Demokrasi aman kok buktinya kalian boleh aksiIya tapi diintimidasi pake mobil direktorat tahanan dan diparkir depa,": Democracy is safe, how proof you can do it, but it is intimidated using a cars of the Directorate of Detention and parked"
sejahterahman,RT @barengwarga: Aksi Tolak Kenaikan PPN sore ini oleh BEM SI di Istana Negara. ✊ #TolakPPN12Persen https://t.co/hUtztZcbl5,: Aksi Tolak Kenaikan PPN sore ini oleh BEM SI di Istana Negara.,: Action Rejecting the increase in VAT this afternoon by BEM SI at the State Palace.
Queensavicky,"RT @intinyadeh: #intinyadeh akun WhatsApp inisiator @barengwarga beserta keluarganya dihack.

Diduga gara2 vokal nolak PPN 12%, krn akhir2…",": akun WhatsApp inisiator beserta keluarganya dihack.Diduga gara2 vokal nolak PPN %, krn akhir2",": WhatsApp Initiator account and his family are hacked. Allegedly because vocals refuse VAT %, because lately"
ambo_miocarbon,"RT @Heraloebss: Carut marut bangsa ini bukan hanya Soal PPN 12%, tapi juga soal Koruptor, Oknum, Ketidak adilan, Kemiskinan, Keserahakan, K…",": Carut marut bangsa ini bukan hanya Soal PPN %, tapi juga soal Koruptor, Oknum, Ketidak adilan, Kemiskinan, Keserahakan, K",": The chaotic nation is not only a matter of VAT %, but also about corruptors, individual"
gilangbayunu,"bapanas sukses banget bantu rakyat, beras premium skrg bebas pajak 12%! Terima kasih bgt! https://t.co/eRXTNurbIg","bapanas sukses banget bantu rakyat, beras premium skrg bebas pajak %! Terima kasih bgt!","Bapanas is very successful in helping the people, premium rice is now tax -free %!Thank you really!"
rizallmuhammadz,"Jadi gini, guys, PPN 12% itu sebenernya berlaku buat transaksi antar perusahaan (B2B), jadi sebelum barang sampe ke tangan kita. But, once barang udah sampe ke konsumen akhir, total pajaknya bisa lebih dari 12% because there's a multi-level tax in every stage of distribution.","Jadi gini, guys, PPN % itu sebenernya berlaku buat transaksi antar perusahaan (B2B), jadi sebelum barang sampe ke tangan kita. But, once barang udah sampe ke konsumen akhir, total pajaknya bisa lebih dari % because there's a multi-level tax in every stage of distribution.","So like this, guys, PPN % actually applies to transactions between companies (B2B), so before the goods arrive to our hands.But, Once the goods have arrived to the final consumer, the total tax can be more than % because there's a multi-level tax in every stage of distribution."
yudi_puspa,"RT @virdianaurellio: “Demokrasi aman kok buktinya kalian boleh aksi”

Iya tapi diintimidasi pake mobil direktorat tahanan dan diparkir depa…",: Demokrasi aman kok buktinya kalian boleh aksiIya tapi diintimidasi pake mobil direktorat tahanan dan diparkir depa,": Democracy is safe, how proof you can do it, but it is intimidated using a cars of the Directorate of Detention and parked"
hihellomega,RT @barengwarga: Aksi Tolak Kenaikan PPN sore ini oleh BEM SI di Istana Negara. ✊ #TolakPPN12Persen https://t.co/hUtztZcbl5,: Aksi Tolak Kenaikan PPN sore ini oleh BEM SI di Istana Negara.,: Action Rejecting the increase in VAT this afternoon by BEM SI at the State Palace.
mirnasarikumal,"mungkin berat ya diawal, tp PPN 12 persen bisa bikin negara kita lebih mandiri secara ekonomi lho! Cek detailnya di https://t.co/aGgj6orxzF","mungkin berat ya diawal, tp PPN persen bisa bikin negara kita lebih mandiri secara ekonomi lho! Cek detailnya di","Maybe it's hard at the beginning, but VAT percent can make our country more economically independent you know!Check the details on"
waautier,"RT @koganenohikari: ini juga misleading, beras yg ga kena kenaikan PPn 12% itu cuma BERAS BULOG.

berani makan beras Bulog full sebulan? or…",": ini juga misleading, beras yg ga kena kenaikan PPn % itu cuma BERAS BULOG.berani makan beras Bulog full sebulan? or",": This is also a misleading, rice that is not hit by the increase in PPN % is only Bulog rice. Are you eating full Bulog rice a month?or"
ffachrudin1,"RT @virdianaurellio: “Demokrasi aman kok buktinya kalian boleh aksi”

Iya tapi diintimidasi pake mobil direktorat tahanan dan diparkir depa…",: Demokrasi aman kok buktinya kalian boleh aksiIya tapi diintimidasi pake mobil direktorat tahanan dan diparkir depa,": Democracy is safe, how proof you can do it, but it is intimidated using a cars of the Directorate of Detention and parked"
bukanros,"RT @Widino: Entah apa kalian juga merasakan hal yg sama, gw ngerasa akhir tahun 2024 ini chaos bgt :(

Khawatir efek domino PPN 12% ditamba…",": Entah apa kalian juga merasakan hal yg sama, gw ngerasa akhir tahun ini chaos bgt Khawatir efek domino PPN % ditamba",": I don't know if you also feel the same thing, I feel that the end of this year is really worried that the effect of domino is added."
keranjangbibu,RT @barengwarga: Aksi Tolak Kenaikan PPN sore ini oleh BEM SI di Istana Negara. ✊ #TolakPPN12Persen https://t.co/hUtztZcbl5,: Aksi Tolak Kenaikan PPN sore ini oleh BEM SI di Istana Negara.,: Action Rejecting the increase in VAT this afternoon by BEM SI at the State Palace.
blurosertz,RT @dekhosun: lucu bgt org2 eropa pada marah 😭 kita nih konser mulu tapi berkelahi dengan umr 3jt &amp; ppn 12% anjrit 😭 kita juga bingung 😭,: lucu bgt org2 eropa pada marah kita nih konser mulu tapi berkelahi dengan umr jt &amp; ppn % anjrit kita juga bingung,: funny European people are angry at our concert but fight with UMR JT & amp;PPN % Anjrit We are also confused
mdkoir,"RT @CNNIndonesia: BEM SI Demo Tolak PPN 12 Persen di Istana, Polisi Siapkan 611 Personel https://t.co/U3pNtpYjSg",": BEM SI Demo Tolak PPN Persen di Istana, Polisi Siapkan Personel",": BEM SI Demo Reject VAT Percent at the Palace, Police Prepare Personnel"
IOytes,"RT @StefanAntonio__: .
.
BOLA PANAS PPN 12% ADA DI TANGAN PRESIDEN
Jangan mau dijadiin Sasaran Tembak atas Kebijakan Jokowi Pak Presiden @p…",: ..BOLA PANAS PPN % ADA DI TANGAN PRESIDENJangan mau dijadiin Sasaran Tembak atas Kebijakan Jokowi Pak Presiden,": .. PPN Hot POLTIES % are in the hands of the President, don't want to be targeted for the Jokowi Pak President's policy"
surprisedbear,"RT @LexWu_13: Perpuluhan itu cuma 10 %...
Zakat cuma 2,5 %.

ini PPN 12 %.

Mending kalau negaranya bantu rakyatnya nyari rejeki!
ini Rejek…",: Perpuluhan itu cuma %...Zakat cuma %.ini PPN %.Mending kalau negaranya bantu rakyatnya nyari rejeki!ini Rejek,: The decimal is just %... zakat only %.This PPN %.
noirpetal,"RT @virdianaurellio: “Demokrasi aman kok buktinya kalian boleh aksi”

Iya tapi diintimidasi pake mobil direktorat tahanan dan diparkir depa…",: Demokrasi aman kok buktinya kalian boleh aksiIya tapi diintimidasi pake mobil direktorat tahanan dan diparkir depa,": Democracy is safe, how proof you can do it, but it is intimidated using a cars of the Directorate of Detention and parked"
marsella_auliaa,RT @barengwarga: Aksi Tolak Kenaikan PPN sore ini oleh BEM SI di Istana Negara. ✊ #TolakPPN12Persen https://t.co/hUtztZcbl5,: Aksi Tolak Kenaikan PPN sore ini oleh BEM SI di Istana Negara.,: Action Rejecting the increase in VAT this afternoon by BEM SI at the State Palace.
bibidibobidibug,"RT @koganenohikari: ini juga misleading, beras yg ga kena kenaikan PPn 12% itu cuma BERAS BULOG.

berani makan beras Bulog full sebulan? or…",": ini juga misleading, beras yg ga kena kenaikan PPn % itu cuma BERAS BULOG.berani makan beras Bulog full sebulan? or",": This is also a misleading, rice that is not hit by the increase in PPN % is only Bulog rice. Are you eating full Bulog rice a month?or"
nadhirahmania,"RT @LexWu_13: Perpuluhan itu cuma 10 %...
Zakat cuma 2,5 %.

ini PPN 12 %.

Mending kalau negaranya bantu rakyatnya nyari rejeki!
ini Rejek…",: Perpuluhan itu cuma %...Zakat cuma %.ini PPN %.Mending kalau negaranya bantu rakyatnya nyari rejeki!ini Rejek,: The decimal is just %... zakat only %.This PPN %.
seniaputkurnia,kenaikan PPN 12% langkah tepat buat pembangunan! Dukungan penuh buat Bu Sri Mulyani https://t.co/ruolMSRML7,kenaikan PPN % langkah tepat buat pembangunan! Dukungan penuh buat Bu Sri Mulyani,Increase in VAT % of the Right Step for Development!Full support for Mrs. Sri Mulyani
monthlydhil,"RT @MARQUEZ__93: BEM SI Demo PPN 12% Ricuh‼️
Kok Nggak Di Siarkan Di TV Yak Takut❓ https://t.co/x7vSWFywiR",: BEM SI Demo PPN % RicuhKok Nggak Di Siarkan Di TV Yak Takut,": BEM Si Demo PPP % Ricuh how come it's not broadcast on TV, I'm afraid"
betharaayutari,"langkah tepat, PPN 12% cuma buat barang mewah. Rakyat santai aja! Klik link https://t.co/fZZ7bLZ4DR","langkah tepat, PPN % cuma buat barang mewah. Rakyat santai aja! Klik link","The right step, VAT % is only for luxury goods.Just relax!Click the link"
remora_only,"RT @koganenohikari: ini juga misleading, beras yg ga kena kenaikan PPn 12% itu cuma BERAS BULOG.

berani makan beras Bulog full sebulan? or…",": ini juga misleading, beras yg ga kena kenaikan PPn % itu cuma BERAS BULOG.berani makan beras Bulog full sebulan? or",": This is also a misleading, rice that is not hit by the increase in PPN % is only Bulog rice. Are you eating full Bulog rice a month?or"
_collateraldmg,"RT @virdianaurellio: “Demokrasi aman kok buktinya kalian boleh aksi”

Iya tapi diintimidasi pake mobil direktorat tahanan dan diparkir depa…",: Demokrasi aman kok buktinya kalian boleh aksiIya tapi diintimidasi pake mobil direktorat tahanan dan diparkir depa,": Democracy is safe, how proof you can do it, but it is intimidated using a cars of the Directorate of Detention and parked"
Blylbrntnbho,"RT @abu_waras: Kader Gerindra Tuding PDIP Jebak Prabowo Lewat PPN 12 Persen, Lambe Waras: Tinggal Buat PP Pembatalan PPN 12 Persen Apa Susa…",": Kader Gerindra Tuding PDIP Jebak Prabowo Lewat PPN Persen, Lambe Waras: Tinggal Buat PP Pembatalan PPN Persen Apa Susa",": Gerindra cadre accusing PDIP Prabowo through VAT percent, Lambe Waras: Just for PP Cancellation of VAT Percent What is Susa"
sonnysetia,"RT @kafiradikalis: ...Baru tahu hari ini mengenai tentang bahwa PKS telah setuju PPN 12%.

Kapan berubah sikapnya?

Padahal dulu (2021) PKS…",: ...Baru tahu hari ini mengenai tentang bahwa PKS telah setuju PPN %.Kapan berubah sikapnya?Padahal dulu (2021) PKS,: ... just found out today about that PKS has agreed to PPN %. When it changed its attitude? Whereas in the past (2021) PKS
anitaefpe,RT @dekhosun: lucu bgt org2 eropa pada marah 😭 kita nih konser mulu tapi berkelahi dengan umr 3jt &amp; ppn 12% anjrit 😭 kita juga bingung 😭,: lucu bgt org2 eropa pada marah kita nih konser mulu tapi berkelahi dengan umr jt &amp; ppn % anjrit kita juga bingung,: funny European people are angry at our concert but fight with UMR JT & amp;PPN % Anjrit We are also confused
soulavya39,"RT @jellypastaa: ppn 12% ditambah influencer out of nowhere adalah combo terbaik.

pedagang lagi susah, karyawan juga susah, dia datang tuk…",": ppn % ditambah influencer out of nowhere adalah combo terbaik.pedagang lagi susah, karyawan juga susah, dia datang tuk",": PPN % plus influencer out of nowhere is the best combo. The trading is difficult, employees are also difficult, he comes tuk"
roratrechiasa,"kaget dpt email kirain apa ye kan, taunya info tagihan wfi bakal naik kena ppn 12%, enih ga ada yg mau nonjokin kah? kzel bgt astagaa, sabar, sabar","kaget dpt email kirain apa ye kan, taunya info tagihan wfi bakal naik kena ppn %, enih ga ada yg mau nonjokin kah? kzel bgt astagaa, sabar, sabar","I was surprised to make an email, what did WFI bills go up, I would rise in PPN %, no one would want to do Nonjokin?Kzel is really good, patient, patient"
ofSxhee,"RT @triwul82: Saat kenaikan tarif PPN 12% tinggal menghitung hari diberlakukan, gelombang penolakan makin besar. Anggota DPR juga tidak sat…",": Saat kenaikan tarif PPN % tinggal menghitung hari diberlakukan, gelombang penolakan makin besar. Anggota DPR juga tidak sat",": When the increase in VAT rates % is just a matter of days in force, the wave of rejection is even greater.DPR members are also not sat"
Vonscare,"RT @anggapph2: Bang ini advokasi melawan siapa sih? Politisi dan elit atau faris pegawai baru masuk IMF?

Lawan Faris apa dampaknya ke PPN…",: Bang ini advokasi melawan siapa sih? Politisi dan elit atau faris pegawai baru masuk IMF?Lawan Faris apa dampaknya ke PPN,: Who are this advocacy against?Politicians and elites or faral new employees enter the IMF?
feelinlonelyfy,RT @dekhosun: lucu bgt org2 eropa pada marah 😭 kita nih konser mulu tapi berkelahi dengan umr 3jt &amp; ppn 12% anjrit 😭 kita juga bingung 😭,: lucu bgt org2 eropa pada marah kita nih konser mulu tapi berkelahi dengan umr jt &amp; ppn % anjrit kita juga bingung,: funny European people are angry at our concert but fight with UMR JT & amp;PPN % Anjrit We are also confused
